cp;nom;distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16;17-31;32-54
59164;Marpent;221;443;458;468;483;887;1 020;1 144;1 273
59252;Marquette-en-Ostrevant;228;458;473;483;498;916;1 053;1 179;1 310
59520;Marquette-lez-Lille;279;563;578;588;603;1 126;1 295;1 431;1 584
59274;Marquillies;271;546;561;571;586;1 093;1 257;1 391;1 541
59241;Masnières;203;406;421;431;446;812;934;1 055;1 176
59176;Masny;234;470;485;495;510;940;1 081;1 208;1 342
59172;Mastaing;231;464;479;489;504;928;1 067;1 193;1 326
59600;Maubeuge;215;421;436;446;461;841;967;1 090;1 214
59158;Maulde;261;526;541;551;566;1 052;1 209;1 342;1 487
59980;Maurois;206;412;427;437;452;825;948;1 070;1 192
59360;Mazinghien;188;375;390;400;415;751;863;981;1 096
59570;Mecquignies;219;439;454;464;479;878;1 010;1 134;1 262
59470;Merckeghem;329;666;681;691;706;1 332;1 532;1 679;1 852
59710;Mérignies;268;540;555;565;580;1 081;1 243;1 377;1 525
59270;Merris;309;625;640;650;665;1 250;1 437;1 580;1 745
59660;Merville;283;571;586;596;611;1 142;1 314;1 451;1 605
59270;Méteren;304;615;630;640;655;1 229;1 413;1 555;1 718
59143;Millam;325;658;673;683;698;1 316;1 513;1 659;1 830
59178;Millonfosse;254;511;526;536;551;1 023;1 176;1 307;1 450
59122;Les Moëres;338;685;700;710;725;1 369;1 575;1 723;1 900
62147;Mœuvres;220;441;456;466;481;883;1 015;1 139;1 267
59620;Monceau-Saint-Waast;202;404;419;429;444;808;929;1 050;1 171
59224;Monchaux-sur-Écaillon;238;478;493;503;518;957;1 100;1 228;1 364
59283;Moncheaux;256;516;531;541;556;1 031;1 186;1 317;1 460
59234;Monchecourt;229;460;475;485;500;920;1 058;1 184;1 316
59370;Mons-en-Barœul;275;555;570;580;595;1 109;1 276;1 411;1 562
